Date,prod,rea,rpo,rpo1
1974-02-01,55943,88.94,74.36,57.25
1974-03-01,56375,98.53,75.23,57.92
1974-04-01,57110,86.55,74.71,57.51
1974-05-01,57279,104.3,75.68,58.27
1974-06-01,56858,82.63,75.29,57.97
1974-07-01,55765,62.33,73.06,56.25
1974-08-01,54302,58.96,71.78,55.27
1974-09-01,54841,60.71,69.95,53.86
1974-10-01,55013,61.86,68.91,53.05
1974-11-01,55088,59.27,68.73,52.92
1974-12-01,54596,22.11,69.78,53.72
1975-01-01,52420,-0.46,68.98,53.10
1975-02-01,51408,-9.41,70.09,53.96
1975-03-01,51326,-26.21,71.05,54.70
1975-04-01,50946,-40.97,70.68,54.41
1975-05-01,51181,-43.64,70.6,54.35
1975-06-01,52475,-36.49,74.72,57.52
1975-07-01,53856,-41.48,73.4,56.51
1975-08-01,55017,-45.2,74.27,57.18
1975-09-01,56741,-33.99,72.64,55.93
1975-10-01,51389,-33.58,75.43,58.08
1975-11-01,53192,-23.69,76.83,59.15
1975-12-01,53916,-35.31,75.25,57.93
1976-01-01,53133,-45.62,67.18,51.72
1976-02-01,54565,-49.88,67.01,51.59
1976-03-01,55927,-32.15,68.15,52.47
1976-04-01,54905,-28.57,67.43,51.91
1976-05-01,55140,-18.98,67.17,51.71
1976-06-01,56950,-15.85,67.16,51.71
1976-07-01,57293,-21.16,66.96,51.55
1976-08-01,57699,-23.65,66.95,51.54
1976-09-01,58596,-24.38,66.06,50.86
1976-10-01,60391,-20.48,65.82,50.67
1976-11-01,60955,-19.05,66.03,50.83
1976-12-01,62462,-35.45,66.32,51.06
1977-01-01,56833,-48.84,67.9,52.28
1977-02-01,60649,-44.75,69.08,53.18
1977-03-01,61144,-45.09,68.92,53.06
1977-04-01,60186,-43.22,67.61,52.05
1977-05-01,58262,-35.47,68.61,52.82
1977-06-01,59158,-40.25,68.31,52.59
1977-07-01,58028,-44.05,67.09,51.65
1977-08-01,58854,-46.76,67.87,52.25
1977-09-01,60089,-46.92,66.82,51.44
1977-10-01,59961,-32.69,66.77,51.41
1977-11-01,61113,-33.18,66.57,51.25
1977-12-01,62350,-37.75,66.93,51.53
1978-01-01,56705,-38.23,65.42,50.37
1978-02-01,58208,-38.54,64.62,49.75
1978-03-01,58717,-39.01,64.92,49.98
1978-04-01,59610,-39.63,63.66,49.01
1978-05-01,58596,-22.53,63.55,48.93
1978-06-01,59981,-16.97,63.19,48.65
1978-07-01,59555,-25.58,62.49,48.11
1978-08-01,60357,-26.02,61.99,47.72
1978-09-01,62477,-13.76,61.72,47.52
1978-10-01,62906,-17.8,61.59,47.42
1978-11-01,63054,-3.78,61.69,47.49
1978-12-01,61691,-6.78,62.16,47.85
1979-01-01,60148,-16.07,63.92,49.21
1979-02-01,60473,-10.62,64.83,49.91
1979-03-01,61633,7.28,66.32,51.06
1979-04-01,62870,9.26,70.34,54.16
1979-05-01,62667,29.06,75.17,57.87
1979-06-01,62919,46.34,82.28,63.35
1979-07-01,63552,54.36,89.35,68.79
1979-08-01,63425,37.26,91.92,70.76
1979-09-01,63183,43.83,95.15,73.26
1979-10-01,63629,43.75,94.1,72.45
1979-11-01,63954,49.26,100.43,77.32
1979-12-01,63490,35.45,106.2,81.76
1980-01-01,62348.011,34.82,111.37,85.74
1980-02-01,62715.757,40.18,115.86,89.20
1980-03-01,61647.494,42.15,117.86,90.74
1980-04-01,60391.36,60.48,117.12,90.17
1980-05-01,59778.782,63.64,118.7,91.39
1980-06-01,60008.624,56.87,118.07,90.90
1980-07-01,59608.899,44.76,118.03,90.87
1980-08-01,59446.012,53.51,116.94,90.03
1980-09-01,58297.803,54.76,116.03,89.33
1980-10-01,55842.496,54.64,115.5,88.92
1980-11-01,56668.926,64.46,115.8,89.15
